target,source,year,size,count,date
France,Afghanistan,1992,12.602,1,31/12/1992
France,Algeria,2014,37.831,2,31/12/2014
Monaco,Andorra,2011,29.673,1,31/12/2011
Spain,Andorra,2010,136.036,1,31/12/2010
Spain,Andorra,2013,368.193,2,31/12/2013
Portugal,Angola,2014,14.931,1,31/12/2014
Angola,Argentina,2011,5,1,31/12/2011
Bahamas,Argentina,1997,15,1,31/12/1997
Brazil,Argentina,1991,7.5,1,31/12/1991
Brazil,Argentina,1993,52,1,31/12/1993
Brazil,Argentina,1995,87.984,1,31/12/1995
Brazil,Argentina,1997,587.357,4,31/12/1997
Brazil,Argentina,1998,229.665,7,31/12/1998
Brazil,Argentina,1999,230.211,2,31/12/1999
Brazil,Argentina,2000,23.136,3,31/12/2000
Brazil,Argentina,2005,1.002,1,31/12/2005
Brazil,Argentina,2008,459.5,2,31/12/2008
Chile,Argentina,1997,190.828,1,31/12/1997
Chile,Argentina,1998,1.6,1,31/12/1998
Chile,Argentina,2000,2.4,1,31/12/2000
Chile,Argentina,2014,40,1,31/12/2014
China,Argentina,2003,2,1,31/12/2003
Colombia,Argentina,2001,7.5,1,31/12/2001
Colombia,Argentina,2010,18.059,1,31/12/2010
Colombia,Argentina,2011,19.973,1,31/12/2011
Colombia,Argentina,2013,153,1,31/12/2013
France,Argentina,1991,2.355,1,31/12/1991
Italy,Argentina,2014,114.375,1,31/12/2014
Mexico,Argentina,1993,1.5,1,31/12/1993
Mexico,Argentina,2000,44.734,1,31/12/2000
Mexico,Argentina,2012,46.168,1,31/12/2012
Netherlands,Argentina,2010,2.334,1,31/12/2010
Panama,Argentina,2008,19,1,31/12/2008
Paraguay,Argentina,1997,1.87,1,31/12/1997
South Africa,Argentina,2012,7.136,1,31/12/2012
Spain,Argentina,1993,1.895,1,31/12/1993
Spain,Argentina,1998,8.499,1,31/12/1998
Spain,Argentina,2001,2.619,1,31/12/2001
Spain,Argentina,2014,15.811,1,31/12/2014
United Kingdom,Argentina,1999,0.512,1,31/12/1999
United States,Argentina,1993,15,1,31/12/1993
United States,Argentina,1996,1.7,1,31/12/1996
United States,Argentina,1998,28.5,1,31/12/1998
United States,Argentina,2001,0.65,1,31/12/2001
United States,Argentina,2003,693.23,2,31/12/2003
United States,Argentina,2008,0.3,1,31/12/2008
United States,Argentina,2011,10,1,31/12/2011
United States,Argentina,2012,252.5,2,31/12/2012
United States,Argentina,2013,400,1,31/12/2013
United States,Argentina,2014,426.898,1,31/12/2014
Uruguay,Argentina,1995,18.496,1,31/12/1995
Uruguay,Argentina,1998,7.003,1,31/12/1998
Uruguay,Argentina,1999,300,1,31/12/1999
Uruguay,Argentina,2000,2.6,2,31/12/2000
Uruguay,Argentina,2009,100,1,31/12/2009
Uruguay,Argentina,2011,10.2,2,31/12/2011
Albania,Australia,2012,0.916,1,31/12/2012
Algeria,Australia,2000,22.5,1,31/12/2000
Argentina,Australia,1994,149.985,2,31/12/1994
Argentina,Australia,1997,149.915,1,31/12/1997
Argentina,Australia,2006,0.475,1,31/12/2006
Argentina,Australia,2007,0.43,1,31/12/2007
Argentina,Australia,2008,1.6,2,31/12/2008
Argentina,Australia,2009,24.7,3,31/12/2009
Argentina,Australia,2010,0.38,2,31/12/2010
Argentina,Australia,2011,1.15,1,31/12/2011
Argentina,Australia,2012,472.275,4,31/12/2012
Argentina,Australia,2013,377.639,1,31/12/2013
Austria,Australia,1990,166.044,1,31/12/1990
Austria,Australia,1991,16.638,2,31/12/1991
Austria,Australia,2003,0.32,1,31/12/2003
Austria,Australia,2007,90.548,1,31/12/2007
Azerbaijan,Australia,1996,0.8,1,31/12/1996
Bahamas,Australia,1992,1.779,1,31/12/1992
Bahamas,Australia,2006,2.67,1,31/12/2006
Bahrain,Australia,2006,62.665,1,31/12/2006
Bangladesh,Australia,2007,70,1,31/12/2007
Barbados,Australia,2013,1.25,1,31/12/2013
Belgium,Australia,1992,18.141,2,31/12/1992
Belgium,Australia,1996,79.822,1,31/12/1996
Belgium,Australia,1997,8.136,1,31/12/1997
Belgium,Australia,2001,53.428,1,31/12/2001
Belgium,Australia,2004,489.117,1,31/12/2004
Belgium,Australia,2006,103.469,2,31/12/2006
Belgium,Australia,2007,1628.114,3,31/12/2007
Belgium,Australia,2010,667.896,3,31/12/2010
Belgium,Australia,2011,83.998,1,31/12/2011
Belgium,Australia,2012,182.23,1,31/12/2012
Botswana,Australia,2011,6.641,1,31/12/2011
Botswana,Australia,2013,3.621,1,31/12/2013
Brazil,Australia,2000,48,2,31/12/2000
Brazil,Australia,2001,3.853,1,31/12/2001
Brazil,Australia,2002,110,1,31/12/2002
Brazil,Australia,2003,150.555,2,31/12/2003
Brazil,Australia,2005,0.061,1,31/12/2005
Brazil,Australia,2006,91.139,2,31/12/2006
Brazil,Australia,2007,194.713,10,31/12/2007
Brazil,Australia,2008,5.24,3,31/12/2008
Brazil,Australia,2009,0.21,1,31/12/2009
Brazil,Australia,2010,167.219,3,31/12/2010
Brazil,Australia,2011,588.995,6,31/12/2011
Brazil,Australia,2012,330.391,5,31/12/2012
Brazil,Australia,2013,1412.791,2,31/12/2013
Brazil,Australia,2014,1.084,1,31/12/2014
Burkina Faso,Australia,2004,1.1,1,31/12/2004
Burkina Faso,Australia,2009,0.093,1,31/12/2009
Burkina Faso,Australia,2011,1.258,2,31/12/2011
Burkina Faso,Australia,2012,0.944,1,31/12/2012
Burkina Faso,Australia,2013,1.4,1,31/12/2013
Burundi,Australia,2007,5.2,1,31/12/2007
Cambodia,Australia,2010,4.05,1,31/12/2010
Cambodia,Australia,2011,0.6,1,31/12/2011
Cambodia,Australia,2012,44.734,1,31/12/2012
Cameroon,Australia,2007,1.246,1,31/12/2007
Cameroon,Australia,2009,0.808,1,31/12/2009
Cameroon,Australia,2011,0.15,1,31/12/2011
Canada,Australia,1987,192.93,2,31/12/1987
Canada,Australia,1988,4283.33,3,31/12/1988
Canada,Australia,1989,206.8,2,31/12/1989
